"barrio","total","nac_87","nac_88","nac_89","nac_90","nac_91","nac_92","nac_93","nac_94","nac_95","nac_96","nac_97","nac_98","nac_99","nac_00","nac_01","nac_02","nac_03","nac_04","nac_05","nac_06","nac_07","nac_08","nac_09","nac_10","nac_11","nac_12","nac_13","nac_14","nac_15","nac_16","nac_17"
"Nueva Tequendama","1137","51","51","37","41","53","54","57","58","52","52","50","45","49","33","44","37","33","28","22","30","30","27","24","30","17","26","30","19","25","17","15"
"Pampa Linda","965","44","43","33","47","40","53","37","61","55","56","59","41","50","34","34","20","24","20","18","13","19","17","18","16","17","17","12","17","15","22","13"
"Santa Isabel","841","35","36","29","30","39","28","24","37","25","29","16","25","17","20","21","22","21","23","22","31","26","31","28","32","27","30","25","35","28","24","25"
"Sector Cañaveralejo Guadalupe","819","18","18","24","19","16","20","35","30","39","36","36","18","32","29","32","40","37","32","34","28","24","29","25","35","23","25","21","21","16","13","14"
"Cuarto de Legua - Guadalupe","780","31","29","41","39","40","43","40","33","49","38","37","30","34","21","23","21","20","21","24","10","16","13","12","14","20","15","10","20","21","4","11"
"Sector Altos de Santa Isabel","551","19","24","19","17","14","16","21","7","14","19","19","14","9","16","21","15","12","13","9","19","17","15","16","17","22","25","22","30","28","23","19"
"Cañaveralejo - Seguros Patria","543","33","21","35","20","23","28","36","37","25","24","23","23","18","12","16","8","16","11","12","12","11","10","15","4","14","12","12","7","12","7","6"
"Bellavista","530","10","23","22","17","26","8","12","14","12","18","21","17","13","9","15","14","12","19","12","20","11","17","18","20","24","14","16","26","23","23","24"
"San Fernando Viejo","502","20","32","23","33","25","20","30","25","28","28","18","18","17","11","11","13","13","10","17","8","3","9","13","8","14","7","13","9","8","12","6"
"Camino Real - Los Fundadores","453","25","16","21","16","11","16","15","11","18","13","23","25","13","19","23","17","19","15","15","12","14","11","6","19","9","11","7","7","13","9","4"
"El Lido","418","25","23","29","22","25","17","25","28","24","14","18","14","15","16","10","16","10","12","9","7","5","5","2","8","8","2","3","9","6","4","7"
"Tejares - Cristales","395","14","17","21","14","11","19","15","23","16","20","9","12","7","18","15","9","15","12","11","13","9","9","9","9","10","5","9","9","14","9","12"
"La Cascada","293","14","6","14","15","13","13","11","18","13","10","7","8","18","6","13","11","6","11","11","10","5","10","4","7","7","7","8","4","5","5","3"
"Camino Real - Joaquin Borrero Sinisterra","292","14","9","15","12","13","10","22","17","13","12","7","19","10","9","9","10","3","13","7","4","7","5","7","10","7","5","4","4","2","6","7"
"San Fernando Nuevo","277","15","11","15","18","15","20","10","13","18","12","12","14","10","6","10","5","8","7","4","7","5","4","4","6","2","5","4","6","4","4","3"
"Urbanización Nueva Granada","251","14","7","8","13","17","8","13","16","13","14","8","12","9","5","7","8","4","9","3","6","3","3","5","3","10","4","7","4","6","6","6"
"Los Cámbulos","197","10","10","10","8","7","8","8","10","12","4","13","14","6","2","1","5","9","4","3","4","6","0","5","4","5","4","5","7","4","4","5"
"Urbanización Tequendama","189","7","6","9","7","10","6","9","8","6","6","9","9","6","6","4","9","5","9","6","6","11","5","5","3","2","0","5","4","4","4","3"
"El Refugio","148","5","2","6","12","6","8","4","6","5","4","6","3","9","6","4","4","2","3","6","5","4","6","3","5","3","3","6","3","3","3","3"
"Unidad Residencial El Coliseo","141","2","6","3","5","6","2","6","5","2","7","9","4","12","0","8","2","6","2","3","7","6","3","5","2","5","5","3","4","2","8","1"
"Unidad Residencial Santiago de Cali","136","5","6","6","7","8","10","10","8","8","6","4","7","7","3","4","2","2","5","2","1","4","1","2","1","2","2","3","4","1","3","2"
"Brisas de los Cristales","118","4","5","2","2","5","1","3","3","4","4","4","4","3","3","2","4","1","1","3","5","3","2","4","4","6","3","5","6","7","8","7"
"Cañaveral","110","6","3","3","4","4","4","7","4","8","7","7","1","5","2","3","2","2","3","2","1","3","5","2","3","0","1","1","2","6","5","4"
"Santa Bárbara","93","4","2","1","5","2","6","5","8","7","5","2","4","2","5","3","5","2","2","2","2","1","3","1","4","1","2","1","3","1","1","1"
"Eucaristico","71","2","3","1","4","8","4","4","4","5","1","3","0","3","2","3","1","4","3","1","1","1","3","1","1","0","1","4","2","1","0","0"
"Urbanización Militar","63","4","3","3","3","2","3","1","3","4","3","3","1","1","1","4","1","2","0","2","4","2","1","5","2","2","0","1","1","1","0","0"
"3 de Julio","50","3","5","3","2","4","3","2","2","5","2","2","1","1","0","0","2","0","0","1","0","0","1","3","1","1","2","1","0","1","2","0"
"Miraflores","38","2","3","2","0","0","0","4","3","3","2","2","2","2","2","1","1","1","0","2","2","0","1","1","1","0","0","0","0","1","0","0"
"Mameyal","18","0","1","2","0","1","2","0","1","0","1","1","0","0","1","0","0","0","1","1","0","1","0","3","0","0","0","0","0","0","0","2"
"El Mortiñal","13","1","1","0","0","0","1","0","1","0","0","1","0","1","1","0","0","1","0","1","0","0","0","2","0","0","1","0","0","1","0","0"
"Urbanización Colseguros","12","0","3","0","0","0","1","0","2","0","1","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0"
"El Cedro","11","1","0","1","1","1","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0"
"Champagnat","4","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
