"seccion_censal","nac_87","nac_88","nac_89","nac_90","nac_91","nac_92","nac_93","nac_94","nac_95","nac_96","nac_97","nac_98","nac_99","nac_00","nac_01","nac_02","nac_03","nac_04","nac_05","nac_06","nac_07","nac_08","nac_09","nac_10","nac_11","nac_12","nac_13","nac_14","nac_15","nac_16","nac_17"
"76001100000000173605","157","137","132","121","134","122","132","119","121","138","136","105","130","112","92","76","85","82","81","79","92","102","81","72","85","93","98","99","88","107","88"
"76001100000000173301","75","84","88","79","59","72","76","77","75","78","75","77","93","84","65","75","70","64","61","60","71","69","76","72","67","65","53","75","56","48","65"
"76001100000000021901","59","60","70","41","51","54","45","51","44","57","48","46","55","60","68","50","64","60","77","69","83","78","59","73","75","70","90","75","79","62","58"
"76001100000000022001","54","51","51","49","33","53","42","51","42","60","51","35","53","36","53","47","56","47","59","46","53","55","41","38","42","56","47","46","32","36","34"
"76001100000000020301","45","41","62","23","30","27","34","25","33","38","37","17","38","32","40","39","29","36","37","50","38","36","45","43","30","37","48","30","59","41","44"
"76001100000000170902","45","68","57","59","53","43","53","47","53","55","56","30","48","43","29","33","20","35","24","31","26","30","27","27","23","27","20","27","33","29","27"
"76001100000000171401","43","42","44","48","53","42","46","41","49","50","45","42","61","41","42","23","32","40","23","35","31","24","24","30","25","18","21","16","23","20","20"
"76001100000000171607","41","43","38","48","55","36","48","62","53","60","41","48","50","53","39","45","44","36","38","34","33","38","33","32","41","35","38","34","42","23","28"
"76001100000000020102","33","27","24","21","34","13","24","30","24","21","22","20","21","36","31","24","23","26","18","30","22","33","26","27","32","32","38","23","39","38","28"
"76001100000000193102","32","30","25","18","26","14","16","26","15","20","13","12","10","18","17","20","16","17","18","27","23","26","25","32","25","26","26","33","25","22","24"
"76001100000000173602","32","36","36","30","27","52","36","40","41","35","28","45","41","30","29","23","32","31","22","30","27","18","37","29","30","17","22","23","18","10","13"
"76001100000000171501","31","36","35","32","36","32","42","52","37","48","35","28","35","39","24","19","21","17","20","21","23","22","21","17","18","15","19","17","19","18","14"
"76001100000000020401","27","27","19","7","16","21","17","8","15","19","12","17","16","15","16","15","15","15","10","16","20","7","10","10","8","10","10","13","7","19","9"
"76001100000000021303","26","11","17","18","20","13","16","15","12","4","14","8","14","11","7","15","7","12","8","7","9","10","5","5","11","9","7","11","6","3","4"
"76001100000000170201","26","20","25","25","11","21","23","36","27","55","35","46","53","24","30","49","46","38","45","39","36","42","32","31","23","42","32","39","24","15","6"
"76001100000000192302","25","23","12","19","26","21","30","25","17","23","21","15","15","11","19","10","8","7","11","10","11","11","11","14","6","5","11","9","10","6","9"
"76001100000000171505","25","28","29","27","19","27","24","37","22","28","24","17","11","18","14","18","16","13","13","9","12","10","11","4","10","16","7","9","11","10","9"
"76001100000000173601","25","28","33","34","29","42","34","42","49","56","33","38","30","22","33","24","42","26","25","20","25","19","21","17","21","19","18","14","15","11","9"
"76001100000000171301","25","35","27","40","38","47","64","43","52","58","57","58","49","45","53","49","40","37","47","48","36","26","37","34","34","37","32","16","21","19","17"
"76001100000000171701","24","18","24","21","21","25","26","32","22","31","29","22","21","26","24","13","19","21","16","22","24","19","9","17","20","13","23","18","13","13","15"
"76001100000000171502","24","22","22","17","23","16","21","25","25","22","23","37","24","15","22","12","11","12","20","11","15","12","11","12","11","16","14","10","6","5","9"
"76001100000000170701","24","27","21","29","28","30","36","35","42","46","65","53","44","42","42","46","43","59","38","44","58","41","37","36","34","44","28","36","41","25","26"
"76001100000000172001","23","15","17","28","34","24","25","26","24","25","22","17","15","21","19","11","24","18","9","14","12","8","6","10","16","7","6","7","8","10","8"
"76001100000000021401","20","20","27","25","27","20","22","32","22","17","32","33","18","31","28","17","22","10","26","17","29","18","15","17","20","21","18","15","18","14","10"
"76001100000000170903","20","20","29","24","26","27","35","33","24","26","27","36","27","44","29","36","31","42","29","41","26","36","27","19","33","31","27","22","25","20","23"
"76001100000000172501","19","14","16","15","21","24","12","28","16","21","11","10","16","9","9","8","10","10","4","8","6","8","7","8","5","4","3","11","7","10","7"
"76001100000000021103","19","17","23","21","20","21","26","16","30","25","21","24","21","22","28","24","16","20","25","17","22","9","11","14","15","14","15","16","14","14","10"
"76001100000000171503","18","14","18","20","15","26","22","27","20","11","11","9","12","11","11","6","7","5","11","9","8","5","6","8","9","13","12","10","8","9","19"
"76001100000000192902","18","16","22","19","20","14","22","21","18","11","15","9","9","12","7","10","8","9","8","6","4","3","2","5","6","2","2","8","5","2","6"
"76001100000000172103","18","23","17","27","16","24","16","21","19","22","15","27","10","19","17","9","17","12","11","12","7","7","10","3","10","13","7","5","6","8","5"
"76001100000000190201","17","8","16","21","19","19","14","21","15","14","12","11","23","11","15","14","8","14","14","15","8","15","7","10","9","8","13","7","7","8","6"
"76001100000000190501","17","10","22","3","14","14","19","15","6","7","9","13","5","4","6","3","7","6","5","3","5","0","4","0","8","4","2","2","4","3","2"
"76001100000000030501","17","13","13","15","15","9","12","13","7","9","3","6","6","10","8","4","3","5","0","2","7","3","4","2","4","1","3","3","8","7","7"
"76001100000000021702","16","12","9","7","9","7","5","3","2","5","4","5","9","10","5","8","12","6","4","6","8","5","9","1","5","3","4","11","10","8","4"
"76001100000000171101","16","15","12","16","16","13","19","20","21","18","17","17","11","16","18","16","8","13","9","5","14","8","8","10","6","7","8","11","7","7","9"
"76001100000000191901","16","19","14","18","19","23","20","12","20","19","17","16","16","13","14","15","14","8","5","10","8","7","5","7","7","12","10","1","9","8","2"
"76001100000000172101","16","20","15","15","14","21","18","18","18","12","12","22","16","10","8","10","7","9","12","9","11","8","14","5","8","14","7","7","9","7","7"
"76001100000000022002","16","30","27","20","25","29","29","23","26","19","22","12","18","22","10","13","15","17","12","10","14","9","8","14","7","13","12","14","9","23","14"
"76001100000000191301","15","9","11","16","10","9","12","11","24","9","9","6","8","4","6","5","5","1","9","5","1","4","4","3","6","5","4","4","9","1","5"
"76001100000000020501","15","12","11","10","16","10","13","17","7","8","6","16","7","7","10","6","12","5","6","7","6","7","8","4","2","4","5","1","7","6","5"
"76001100000000193001","14","7","8","13","17","8","13","16","13","14","8","12","9","5","7","8","4","9","3","6","3","3","5","3","10","4","7","4","6","6","6"
"76001100000000190301","14","8","9","12","9","15","7","18","11","17","11","11","11","10","8","5","6","8","8","7","5","3","2","2","6","4","5","6","7","5","4"
"76001100000000171102","14","9","10","15","10","17","14","20","14","9","10","23","15","13","8","21","13","9","13","11","15","9","4","16","4","10","8","14","10","3","6"
"76001100000000172104","14","9","16","14","21","17","19","18","13","14","10","11","10","9","7","8","9","8","8","7","5","5","7","8","4","6","6","4","6","4","6"
"76001100000000020803","14","9","20","13","10","11","11","11","14","8","11","4","6","4","2","3","6","3","4","2","2","3","3","3","2","3","4","3","2","3","2"
"76001100000000021104","14","12","9","12","17","15","9","16","10","17","12","13","11","3","9","6","5","12","9","2","1","9","8","11","5","6","9","5","6","3","3"
"76001100000000192301","14","12","14","7","9","13","8","24","19","13","15","15","19","10","15","13","13","13","8","14","13","10","13","11","6","9","10","10","7","3","4"
"76001100000000172201","14","16","14","13","20","22","20","29","25","25","16","15","24","22","17","17","8","17","14","12","18","13","10","13","10","10","11","7","9","13","6"
"76001100000000201302","14","20","14","12","10","12","15","4","7","10","12","5","6","8","9","8","3","7","5","10","8","5","9","12","10","10","13","14","17","13","14"
"76001100000000170504","14","22","11","19","23","16","18","25","17","24","17","24","25","15","10","13","12","7","12","19","10","14","11","8","15","13","17","11","12","10","15"
"76001100000000190601","13","8","9","13","5","14","13","12","17","13","13","10","9","5","10","5","7","4","6","7","6","10","9","4","5","6","9","4","6","4","4"
"76001100000000191101","13","11","10","12","16","19","13","19","17","15","22","15","22","8","14","3","4","6","5","0","5","4","4","7","1","4","1","1","3","8","2"
